"AGMH.Open","AGMH.High","AGMH.Low","AGMH.Close","AGMH.Volume","AGMH.Adjusted","Date"
877.5,877.5,807,807,62,807,2020-01-02
825,825,807,808,38,808,2020-01-03
812,841.5,807.75,813.299987792969,54,813.299987792969,2020-01-06
815.950012207031,834.700012207031,815.950012207031,834.700012207031,16,834.700012207031,2020-01-07
821,852,821,846,136,846,2020-01-08
843,877.5,800.5,820,172,820,2020-01-09
822.5,825,819,819,16,819,2020-01-10
813,813.5,768.5,768.5,46,768.5,2020-01-13
767.5,767.5,761.5,761.5,12,761.5,2020-01-14
752.5,772,739,772,62,772,2020-01-15
754.400024414062,754.650024414062,738.799987792969,741.900024414062,98,741.900024414062,2020-01-16
746.5,772.849975585938,743,772.849975585938,58,772.849975585938,2020-01-17
772,774.5,750.25,767.5,84,767.5,2020-01-21
758,792,745,789,172,789,2020-01-22
769,769,769,769,22,769,2020-01-23
763.5,769.5,757.299987792969,769.5,64,769.5,2020-01-24
759.5,771,759,771,66,771,2020-01-27
762.5,778.5,758.849975585938,778.5,84,778.5,2020-01-28
763.5,782,763.5,775.5,56,775.5,2020-01-29
766,766,763,763,4,763,2020-01-30
766.5,767.5,733.849975585938,767.5,16,767.5,2020-01-31
768,785.5,763,774.400024414062,68,774.400024414062,2020-02-03
768.5,771.5,768.5,768.5,64,768.5,2020-02-04
768.5,769,762,762,74,762,2020-02-05
760.5,772.5,758.5,771,102,771,2020-02-06
766.5,779,764.5,775.349975585938,88,775.349975585938,2020-02-07
767,784.5,764,771,82,771,2020-02-10
762.5,770.5,762.5,765.5,86,765.5,2020-02-11
764.5,767,747.5,755.799987792969,62,755.799987792969,2020-02-12
762,763,757.5,760,60,760,2020-02-13
760,761,758.5,758.5,68,758.5,2020-02-14
758.5,758.5,731.450012207031,756,70,756,2020-02-18
755,784,755,784,56,784,2020-02-19
783,783,766.75,766.75,18,766.75,2020-02-20
772.5,772.5,765.5,770,30,770,2020-02-21
767,769,763,769,52,769,2020-02-24
765.5,766.5,763,763,76,763,2020-02-25
764.5,764.5,763,763,56,763,2020-02-26
760.5,761.5,759,759,54,759,2020-02-27
755.5,757.5,751,757.5,50,757.5,2020-02-28
766,766,761,761,40,761,2020-03-02
761,761.5,759,760.5,62,760.5,2020-03-03
762,762.5,757.799987792969,762.5,74,762.5,2020-03-04
758,760,757.5,757.5,58,757.5,2020-03-05
760,779,724.5,762.5,398,762.5,2020-03-06
760,765,755.400024414062,758.799987792969,74,758.799987792969,2020-03-09
777,787.5,777,787.5,26,787.5,2020-03-10
783,836,783,836,46,836,2020-03-11
777.5,782,740,740,140,740,2020-03-12
756.5,756.5,744.5,751.5,42,751.5,2020-03-13
755,755,748.5,748.5,36,748.5,2020-03-16
750.5,750.5,741,741,58,741,2020-03-17
741,746,738.5,746,54,746,2020-03-18
743.5,743.5,739,739.5,70,739.5,2020-03-19
740,740,716.099975585938,735,58,735,2020-03-20
735.5,739.5,727.25,727.25,54,727.25,2020-03-23
746,778,742.5,778,50,778,2020-03-24
790,792,781,783.5,70,783.5,2020-03-25
788.5,789.5,743,743,54,743,2020-03-26
738.5,759,735,755,70,755,2020-03-27
757.5,762,751.5,762,64,762,2020-03-30
762.5,772,762.5,772,56,772,2020-03-31
760.5,770.5,760.5,764.5,54,764.5,2020-04-01
765.5,772.5,761.5,767.5,52,767.5,2020-04-02
768.5,768.5,766.5,767.5,52,767.5,2020-04-03
770.5,771.5,768.5,771,56,771,2020-04-06
774.5,774.5,743.5,743.5,86,743.5,2020-04-07
752.5,759,745,759,48,759,2020-04-08
762.5,763,751,755.5,56,755.5,2020-04-09
753,759,751.5,754.799987792969,60,754.799987792969,2020-04-13
757.5,763,757.5,763,62,763,2020-04-14
760,764,759,759,72,759,2020-04-15
760.5,768.5,751,767.5,100,767.5,2020-04-16
767,774,763.5,774,92,774,2020-04-17
775,821.5,775,821.5,58,821.5,2020-04-20
825.5,828,821.5,822.5,58,822.5,2020-04-21
824,847,824,847,52,847,2020-04-22
845.5,848,844,846,52,846,2020-04-23
842,846.5,841,841,50,841,2020-04-24
840,860,840,859.5,58,859.5,2020-04-27
865,884.5,865,884.5,50,884.5,2020-04-28
890.5,912.5,890.5,912.5,58,912.5,2020-04-29
909.5,922,909.5,922,56,922,2020-04-30
921.5,927.5,920,920,88,920,2020-05-01
924,934.5,922,934.5,64,934.5,2020-05-04
934,945,934,945,58,945,2020-05-05
950,963.400024414062,950,961,58,961,2020-05-06
967.5,977.5,967.5,977.5,72,977.5,2020-05-07
974.5,987,974.5,987,54,987,2020-05-08
980,982.5,952.5,952.5,102,952.5,2020-05-11
969.5,974.5,964,974,78,974,2020-05-12
980,992.5,978.450012207031,992.5,64,992.5,2020-05-13
989,1005.5,989,1000.79998779297,74,1000.79998779297,2020-05-14
1010,1026,1008,1026,60,1026,2020-05-15
1029,1031.5,1023,1027,86,1027,2020-05-18
1030,1046.5,1030,1033.5,48,1033.5,2020-05-19
1045.25,1050,1021.5,1033.5,52,1033.5,2020-05-20
1025,1031.5,1000.5,1014.5,58,1014.5,2020-05-21
1010,1041.25,1010,1025.69995117188,56,1025.69995117188,2020-05-22
1035,1060.5,1035,1053,48,1053,2020-05-26
1050.5,1050.5,1044,1044.5,64,1044.5,2020-05-27
1046,1051.5,1046,1050,44,1050,2020-05-28
1053,1064.5,1053,1064.5,50,1064.5,2020-05-29
1068.5,1078.5,1068.5,1078.5,46,1078.5,2020-06-01
1077,1081,1070.5,1078.5,58,1078.5,2020-06-02
1078,1088.5,1077.5,1086.5,52,1086.5,2020-06-03
1089,1096.09997558594,1087.5,1095,72,1095,2020-06-04
1112.5,1116,1108,1116,58,1116,2020-06-05
1107,1123,1107,1120.5,52,1120.5,2020-06-08
1120,1121.5,1113.05004882812,1120.5,46,1120.5,2020-06-09
1122,1143,1116.5,1143,68,1143,2020-06-10
1138,1144,1136.69995117188,1144,56,1144,2020-06-11
1168.5,1199.5,1168.5,1196.80004882812,78,1196.80004882812,2020-06-12
1200,1250,1200,1248.5,86,1248.5,2020-06-15
1246,1262.05004882812,1246,1259,58,1259,2020-06-16
1263.5,1266.5,1257,1261,46,1261,2020-06-17
1264,1288.5,1262.90002441406,1288.5,54,1288.5,2020-06-18
1293,1297.5,1287.5,1292,52,1292,2020-06-19
1260.05004882812,1285,1260.05004882812,1282,52,1282,2020-06-22
1283,1297.5,1276,1297,50,1297,2020-06-23
1297.5,1306,1295,1306,50,1306,2020-06-24
1309,1322,1305.94995117188,1322,56,1322,2020-06-25
1320.5,1321,1306,1320.5,52,1320.5,2020-06-26
1315,1321,1299,1321,46,1321,2020-06-29
1318,1318,1286.5,1301.5,86,1301.5,2020-06-30
1292.5,1300.5,1027.5,1045,904,1045,2020-07-01
1040,1040,971.5,980,130,980,2020-07-02
960.5,960.5,932.5,943,52,943,2020-07-06
920,920,876,890,102,890,2020-07-07
874.5,874.5,801.5,816,112,816,2020-07-08
822.5,862.200012207031,814,857.5,390,857.5,2020-07-09
857.5,874,805,847.5,68,847.5,2020-07-10
840,842.5,796.5,796.5,64,796.5,2020-07-13
794,819.5,794,803.5,54,803.5,2020-07-14
806,856,777,798.5,220,798.5,2020-07-15
801.5,812,788.25,793,60,793,2020-07-16
787.5,789,774.5,775,66,775,2020-07-17
782,783.5,775.5,775.5,52,775.5,2020-07-20
775.5,855.5,773,850.5,146,850.5,2020-07-21
845.5,873.5,845.5,873.5,72,873.5,2020-07-22
859.5,919.5,859.5,911,96,911,2020-07-23
918.5,923,896.5,897.5,62,897.5,2020-07-24
886.5,886.5,820,820,72,820,2020-07-27
820.5,823.5,801,803.5,84,803.5,2020-07-28
797,814,785,814,58,814,2020-07-29
812.5,831,812.5,831,58,831,2020-07-30
823.5,823.5,804.5,804.5,66,804.5,2020-07-31
808.5,817.5,801.5,808.5,62,808.5,2020-08-03
812.5,812.5,806,806,44,806,2020-08-04
804,804,789,797,42,797,2020-08-05
783.5,783.5,770,770,42,770,2020-08-06
765.5,765.5,737.75,742.5,90,742.5,2020-08-07
745,745.5,733.5,733.5,110,733.5,2020-08-10
733.5,733.5,720,720,66,720,2020-08-11
720,720.5,706,708,60,708,2020-08-12
708,723.5,704,711,128,711,2020-08-13
712.5,715,709.75,711,68,711,2020-08-14
711,735.5,710,725.5,106,725.5,2020-08-17
735,735,720.049987792969,731,60,731,2020-08-18
737,749.799987792969,730,730,64,730,2020-08-19
732,740.5,728.150024414062,740.5,84,740.5,2020-08-20
727,736,727,733,62,733,2020-08-21
726,732.5,702.5,732.5,118,732.5,2020-08-24
721.5,733.5,705.5,722,102,722,2020-08-25
725.5,742.5,725.5,732,58,732,2020-08-26
729,731,709.5,725,96,725,2020-08-27
726,726,704,715.5,120,715.5,2020-08-28
713,724.5,712,715,86,715,2020-08-31
719.5,723,717.5,723,86,723,2020-09-01
725,785,722.5,769.599975585938,296,769.599975585938,2020-09-02
774.5,774.5,734.400024414062,756,112,756,2020-09-03
699,756.349975585938,699,740.5,110,740.5,2020-09-04
730,740.5,720,720.5,108,720.5,2020-09-08
722.5,724.5,706.5,716,122,716,2020-09-09
718,741,716,741,64,741,2020-09-10
750.5,750.5,730,737,58,737,2020-09-11
733,734,720.5,720.5,82,720.5,2020-09-14
732,732,725,730.5,60,730.5,2020-09-15
730,736,728.5,735.5,70,735.5,2020-09-16
730,772.5,720,761.799987792969,138,761.799987792969,2020-09-17
748.049987792969,757.75,740.549987792969,755,102,755,2020-09-18
733.349975585938,772,733.349975585938,772,104,772,2020-09-21
745.599975585938,780.5,716.200012207031,780.5,98,780.5,2020-09-22
755.5,775,738.900024414062,758,70,758,2020-09-23
746,775.5,746,770,94,770,2020-09-24
758,795,758,795,76,795,2020-09-25
795,801.5,775,801.5,74,801.5,2020-09-28
785,803,757.049987792969,783,66,783,2020-09-29
777.5,782.5,757.5,782,72,782,2020-09-30
767.5,800,767.5,800,76,800,2020-10-01
772.5,790,772.5,788,40,788,2020-10-02
776,776,767,770,80,770,2020-10-05
767,767,759,762,72,762,2020-10-06
760,769,757,768,72,768,2020-10-07
765,766.5,760,760,70,760,2020-10-08
759,759,728,752,82,752,2020-10-09
749.5,749.5,739,749.5,118,749.5,2020-10-12
749,749.5,729,745,154,745,2020-10-13
745.5,745.5,741,741,136,741,2020-10-14
742.5,758.5,739,758.5,144,758.5,2020-10-15
753,770,751,770,72,770,2020-10-16
762.5,762.5,719.799987792969,757,100,757,2020-10-19
758.5,762,751.5,759,124,759,2020-10-20
758,768,756.5,768,100,768,2020-10-21
764.5,768,761.5,763,110,763,2020-10-22
764.5,772,751.5,772,122,772,2020-10-23
754,769,716,750,120,750,2020-10-26
750,750,737.5,737.5,120,737.5,2020-10-27
735,739.5,711.5,730.5,128,730.5,2020-10-28
730,730,716.5,717.5,104,717.5,2020-10-29
723.5,724,714.5,719,78,719,2020-10-30
718,726,717,726,86,726,2020-11-02
724.5,725.5,715.5,722.5,114,722.5,2020-11-03
712.5,721,704.5,721,114,721,2020-11-04
714.5,714.5,708,708,76,708,2020-11-05
710.5,712.5,706,710,82,710,2020-11-06
710,719.5,708.5,715.5,90,715.5,2020-11-09
714,725.5,712,725.5,110,725.5,2020-11-10
718,768.5,713,768.5,208,768.5,2020-11-11
761.5,764,749.5,749.5,126,749.5,2020-11-12
746.5,751,740,751,124,751,2020-11-13
749,755,742.5,742.5,110,742.5,2020-11-16
748,748,737,740.5,150,740.5,2020-11-17
742.5,742.5,727.25,736,94,736,2020-11-18
738.5,748,736,742.5,102,742.5,2020-11-19
742.5,759.5,742,759.5,150,759.5,2020-11-20
754,755,716.25,755,150,755,2020-11-23
757,757,743,746.5,136,746.5,2020-11-24
745,751,737,751,136,751,2020-11-25
745,745,740.5,741,88,741,2020-11-27
744.5,752,740,752,146,752,2020-11-30
748.5,749,737,738,130,738,2020-12-01
738.5,746.5,729.5,746.5,142,746.5,2020-12-02
739,744.5,738,744.5,134,744.5,2020-12-03
741,756,719.049987792969,756,156,756,2020-12-04
749.299987792969,754,719.5,743.5,110,743.5,2020-12-07
742.5,765.5,739,765.5,136,765.5,2020-12-08
750.5,760.5,747,759.5,130,759.5,2020-12-09
752,777.5,745,763.5,140,763.5,2020-12-10
754,756,751,756,126,756,2020-12-11
756,756,734.950012207031,749.5,144,749.5,2020-12-14
749.5,753.5,743.5,753,144,753,2020-12-15
748.5,759.5,741.5,750,162,750,2020-12-16
747.5,761.5,747.5,761.5,64,761.5,2020-12-17
756,767,746,767,112,767,2020-12-18
763,763,746.5,754,136,754,2020-12-21
747.5,753.5,747.5,753.5,74,753.5,2020-12-22
754,759.5,743,743,98,743,2020-12-23
754,808,754,808,116,808,2020-12-24
808,808,785,785,82,785,2020-12-28
786.5,786.5,761.5,761.5,140,761.5,2020-12-29
763,763.5,754.5,763.5,136,763.5,2020-12-30
760,764,754,764,128,764,2020-12-31
757.5,788.5,754.5,788.5,88,788.5,2021-01-04
817,817,739.5,765.5,94,765.5,2021-01-05
766.5,769,763.5,764,122,764,2021-01-06
759,772,756.5,772,70,772,2021-01-07
764,772.75,720.5,772.75,94,772.75,2021-01-08
769.5,774,744.5,774,138,774,2021-01-11
