"C3M.MI.Open","C3M.MI.High","C3M.MI.Low","C3M.MI.Close","C3M.MI.Volume","C3M.MI.Adjusted","Date"
117.449996948242,117.48999786377,117.440002441406,117.470001220703,5571,117.470001220703,2020-01-02
117.449996948242,117.48999786377,117.440002441406,117.470001220703,6154,117.470001220703,2020-01-03
117.440002441406,117.440002441406,117.440002441406,117.459999084473,676,117.459999084473,2020-01-06
117.470001220703,117.480003356934,117.430000305176,117.449996948242,1085,117.449996948242,2020-01-07
117.430000305176,117.480003356934,117.430000305176,117.459999084473,1798,117.459999084473,2020-01-08
117.419998168945,117.470001220703,117.419998168945,117.449996948242,5789,117.449996948242,2020-01-09
117.419998168945,117.419998168945,117.419998168945,117.449996948242,574,117.449996948242,2020-01-10
117.410003662109,117.470001220703,117.410003662109,117.440002441406,1891,117.440002441406,2020-01-13
117.410003662109,117.470001220703,117.410003662109,117.410003662109,509,117.410003662109,2020-01-14
117.470001220703,117.470001220703,117.410003662109,117.440002441406,1134,117.440002441406,2020-01-15
117.459999084473,117.459999084473,117.410003662109,117.430000305176,1179,117.430000305176,2020-01-16
117.410003662109,117.459999084473,117.410003662109,117.430000305176,670,117.430000305176,2020-01-17
117.410003662109,117.459999084473,117.410003662109,117.440002441406,4169,117.440002441406,2020-01-20
117.410003662109,117.449996948242,117.400001525879,117.400001525879,2862,117.400001525879,2020-01-21
117.389999389648,117.440002441406,117.389999389648,117.419998168945,286,117.419998168945,2020-01-22
117.389999389648,117.389999389648,117.389999389648,117.419998168945,1150,117.419998168945,2020-01-23
117.379997253418,117.440002441406,117.379997253418,117.419998168945,6561,117.419998168945,2020-01-24
117.419998168945,117.419998168945,117.370002746582,117.389999389648,371,117.389999389648,2020-01-27
117.440002441406,117.440002441406,117.379997253418,117.410003662109,5050,117.410003662109,2020-01-28
117.419998168945,117.419998168945,117.379997253418,117.410003662109,1997,117.410003662109,2020-01-29
117.430000305176,117.430000305176,117.430000305176,117.410003662109,141,117.410003662109,2020-01-30
117.379997253418,117.430000305176,117.379997253418,117.410003662109,699,117.410003662109,2020-01-31
117.379997253418,117.440002441406,117.379997253418,117.410003662109,162,117.410003662109,2020-02-03
117.400001525879,117.400001525879,117.349998474121,117.379997253418,1897,117.379997253418,2020-02-04
117.419998168945,117.419998168945,117.330001831055,117.379997253418,641,117.379997253418,2020-02-05
117.419998168945,117.440002441406,117.360000610352,117.419998168945,2032,117.419998168945,2020-02-06
117.370002746582,117.419998168945,117.370002746582,117.400001525879,2581,117.400001525879,2020-02-07
117.410003662109,117.410003662109,117.360000610352,117.379997253418,12031,117.379997253418,2020-02-10
117.410003662109,117.410003662109,117.360000610352,117.389999389648,2613,117.389999389648,2020-02-11
117.410003662109,117.419998168945,117.360000610352,117.389999389648,2564,117.389999389648,2020-02-12
117.349998474121,117.410003662109,117.349998474121,117.379997253418,4676,117.379997253418,2020-02-13
117.349998474121,117.400001525879,117.349998474121,117.379997253418,1034,117.379997253418,2020-02-14
117.349998474121,117.410003662109,117.349998474121,117.410003662109,6947,117.410003662109,2020-02-17
117.400001525879,117.400001525879,117.349998474121,117.370002746582,8234,117.370002746582,2020-02-18
117.389999389648,117.389999389648,117.339996337891,117.370002746582,1420,117.370002746582,2020-02-19
117.339996337891,117.389999389648,117.339996337891,117.370002746582,2929,117.370002746582,2020-02-20
117.389999389648,117.389999389648,117.339996337891,117.370002746582,2879,117.370002746582,2020-02-21
117.330001831055,117.389999389648,117.330001831055,117.360000610352,2672,117.360000610352,2020-02-24
117.379997253418,117.379997253418,117.330001831055,117.360000610352,1689,117.360000610352,2020-02-25
117.290000915527,117.389999389648,117.290000915527,117.360000610352,5327,117.360000610352,2020-02-26
117.379997253418,117.379997253418,117.319999694824,117.349998474121,11259,117.349998474121,2020-02-27
117.319999694824,117.370002746582,117.319999694824,117.349998474121,2018,117.349998474121,2020-02-28
117.319999694824,117.370002746582,117.319999694824,117.370002746582,2851,117.370002746582,2020-03-02
117.319999694824,117.379997253418,117.319999694824,117.349998474121,18335,117.349998474121,2020-03-03
117.379997253418,117.379997253418,117.319999694824,117.349998474121,8567,117.349998474121,2020-03-04
