"CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted","Date"
487.410003662109,491.410003662109,480.489990234375,490.429992675781,1378800,490.429992675781,2020-01-02
485.529998779297,496.589996337891,485.529998779297,494.470001220703,974100,494.470001220703,2020-01-03
492.660003662109,498.149993896484,490.929992675781,497.450012207031,829900,497.450012207031,2020-01-06
497.130004882812,500.649993896484,495.549987792969,499.160003662109,1050800,499.160003662109,2020-01-07
499,509.989990234375,498.549987792969,500.769989013672,1063200,500.769989013672,2020-01-08
501.5,508.859985351562,501.5,507.279998779297,924300,507.279998779297,2020-01-09
507.790008544922,509.029998779297,503.519989013672,505.029998779297,912700,505.029998779297,2020-01-10
506.040008544922,512.650024414062,504.890014648438,510.149993896484,933700,510.149993896484,2020-01-13
508.470001220703,512.700012207031,506.239990234375,509.619995117188,1656100,509.619995117188,2020-01-14
510.149993896484,517.070007324219,507.049987792969,515.400024414062,611200,515.400024414062,2020-01-15
507,513.710021972656,506.160003662109,508.779998779297,1104100,508.779998779297,2020-01-16
512.030029296875,512.030029296875,501.329986572266,502.730010986328,2252900,502.730010986328,2020-01-17
501.279998779297,506.730010986328,498.940002441406,503.589996337891,1041000,503.589996337891,2020-01-21
505.540008544922,512.789978027344,504.609985351562,510.5,1878600,510.5,2020-01-22
509.630004882812,516.700012207031,505.450012207031,513.140014648438,1182300,513.140014648438,2020-01-23
512.630004882812,514.260009765625,503.899993896484,504.670013427734,1183000,504.670013427734,2020-01-24
499.140014648438,507.359985351562,497.420013427734,504.079986572266,1930900,504.079986572266,2020-01-27
501.730010986328,507.450012207031,498.809997558594,499.339996337891,1326700,499.339996337891,2020-01-28
498.320007324219,499.070007324219,487.820007324219,490.739990234375,1208800,490.739990234375,2020-01-29
486.880004882812,494.329986572266,484.959991455078,492.980010986328,1067200,492.980010986328,2020-01-30
504.760009765625,521.690002441406,495,517.460021972656,2053600,517.460021972656,2020-01-31
522.840026855469,537.539978027344,522.690002441406,532.049987792969,1666700,532.049987792969,2020-02-03
528.849975585938,532.650024414062,519.849975585938,531.75,1596200,531.75,2020-02-04
522,530.530029296875,521.030029296875,522.179992675781,1819300,522.179992675781,2020-02-05
524.859985351562,529.460021972656,522.919982910156,526.559997558594,830700,526.559997558594,2020-02-06
526.109985351562,526.549987792969,521.340026855469,525.210021972656,753600,525.210021972656,2020-02-07
525.75,531.75,524.419982910156,530.340026855469,1252900,530.340026855469,2020-02-10
531,532.299987792969,524.010009765625,530.940002441406,1098100,530.940002441406,2020-02-11
531.489990234375,535.419982910156,528.630004882812,534,891300,534,2020-02-12
534.119995117188,536.25,532.549987792969,534.72998046875,709400,534.72998046875,2020-02-13
532.489990234375,536.25,532.200012207031,534.890014648438,658200,534.890014648438,2020-02-14
535.25,538.700012207031,533.380004882812,537.599975585938,739500,537.599975585938,2020-02-18
539.72998046875,546.539978027344,536.940002441406,542.460021972656,1041500,542.460021972656,2020-02-19
542.010009765625,544.090026855469,532.090026855469,539.219970703125,1049400,539.219970703125,2020-02-20
537.340026855469,538.429992675781,529.239990234375,535.340026855469,1243500,535.340026855469,2020-02-21
529.799987792969,534,525.590026855469,528.700012207031,1410600,528.700012207031,2020-02-24
530.840026855469,534.830017089844,517.010009765625,517.989990234375,1698000,517.989990234375,2020-02-25
524.780029296875,527.5,516.679992675781,518.090026855469,1617800,518.090026855469,2020-02-26
513.210021972656,520.489990234375,507.510009765625,508.549987792969,2609100,508.549987792969,2020-02-27
500.700012207031,509.880004882812,485.459991455078,493.170013427734,3589100,493.170013427734,2020-02-28
494.470001220703,500.700012207031,490.339996337891,497.130004882812,2951700,497.130004882812,2020-03-02
489.179992675781,505.5,489.179992675781,495.029998779297,2884900,495.029998779297,2020-03-03
502.380004882812,524.650024414062,498.809997558594,522.840026855469,2014000,522.840026855469,2020-03-04
514.340026855469,522.760009765625,501.230010986328,505.140014648438,4485300,505.140014648438,2020-03-05
486.839996337891,498.619995117188,480.649993896484,496.720001220703,2145300,496.720001220703,2020-03-06
466.579986572266,478.619995117188,460.739990234375,463.209991455078,2565900,463.209991455078,2020-03-09
467.799987792969,477.869995117188,460.359985351562,476.760009765625,2660500,476.760009765625,2020-03-10
466.820007324219,477,443.920013427734,450.649993896484,3023500,450.649993896484,2020-03-11
434,446.739990234375,421.859985351562,427.540008544922,3459100,427.540008544922,2020-03-12
446.480010986328,454.519989013672,413.660003662109,454.190002441406,3147600,454.190002441406,2020-03-13
414.980010986328,418.380004882812,388.130004882812,389.109985351562,3274200,389.109985351562,2020-03-16
397.470001220703,406.630004882812,388.230010986328,393.019989013672,3736000,393.019989013672,2020-03-17
374.779998779297,390.75,345.670013427734,381.519989013672,4954800,381.519989013672,2020-03-18
379.570007324219,414.399993896484,372.940002441406,393.059997558594,2466800,393.059997558594,2020-03-19
394.809997558594,404.559997558594,370,371.700012207031,3322200,371.700012207031,2020-03-20
371,399.989990234375,364.670013427734,381.779998779297,2462500,381.779998779297,2020-03-23
396.519989013672,421.209991455078,396.519989013672,419.399993896484,2817600,419.399993896484,2020-03-24
416.010009765625,441,408.540008544922,420.769989013672,2222800,420.769989013672,2020-03-25
424.470001220703,460.540008544922,422.049987792969,454.170013427734,2182700,454.170013427734,2020-03-26
439.010009765625,456.399993896484,434.899993896484,439.700012207031,1909800,439.700012207031,2020-03-27
440.739990234375,454.510009765625,440.739990234375,450.779998779297,2043900,450.779998779297,2020-03-30
443.769989013672,449.170013427734,432.059997558594,436.309997558594,2072800,436.309997558594,2020-03-31
418.299987792969,434.829986572266,413.390014648438,424.029998779297,1360900,424.029998779297,2020-04-01
420.260009765625,436.880004882812,418.010009765625,435.660003662109,1377200,435.660003662109,2020-04-02
433.239990234375,440.619995117188,425.989990234375,433.799987792969,1027900,433.799987792969,2020-04-03
451.970001220703,464.5,442.75,459.549987792969,1627400,459.549987792969,2020-04-06
472.829986572266,475.149993896484,449.829986572266,451.75,1632600,451.75,2020-04-07
461.619995117188,466.140014648438,450.970001220703,463.929992675781,1070800,463.929992675781,2020-04-08
465.649993896484,476.149993896484,456.190002441406,466.640014648438,1634300,466.640014648438,2020-04-09
468.970001220703,473.200012207031,462.160003662109,469.700012207031,988100,469.700012207031,2020-04-13
473.480010986328,495.920013427734,473.130004882812,489.570007324219,1366600,489.570007324219,2020-04-14
477.709991455078,497.980010986328,474.540008544922,496.320007324219,1041200,496.320007324219,2020-04-15
499.940002441406,507.769989013672,493.5,496.350006103516,1158400,496.350006103516,2020-04-16
504.350006103516,509.119995117188,486.070007324219,499.420013427734,1487900,499.420013427734,2020-04-17
495.989990234375,506.260009765625,490.450012207031,498.670013427734,947600,498.670013427734,2020-04-20
493.380004882812,497.589996337891,486.769989013672,490.779998779297,1178400,490.779998779297,2020-04-21
500.390014648438,501.350006103516,490.239990234375,496.079986572266,878300,496.079986572266,2020-04-22
498.5,508.059997558594,495.609985351562,499.119995117188,713800,499.119995117188,2020-04-23
501.529998779297,508.859985351562,494.109985351562,508.549987792969,767800,508.549987792969,2020-04-24
511.809997558594,515.630004882812,505.779998779297,508.440002441406,933000,508.440002441406,2020-04-27
514.72998046875,514.72998046875,494.329986572266,497.160003662109,963900,497.160003662109,2020-04-28
501.910003662109,505.570007324219,492.420013427734,494.670013427734,1117000,494.670013427734,2020-04-29
492.670013427734,511.329986572266,490.350006103516,495.230010986328,2353600,495.230010986328,2020-04-30
511,517.909973144531,495.510009765625,509.640014648438,1671400,509.640014648438,2020-05-01
514.119995117188,521.799987792969,508.869995117188,515.72998046875,1153500,515.72998046875,2020-05-04
517.010009765625,518.419982910156,508.880004882812,513.440002441406,939600,513.440002441406,2020-05-05
516.559997558594,517.869995117188,496.619995117188,503.959991455078,806900,503.959991455078,2020-05-06
511.809997558594,520,507.609985351562,514.25,862800,514.25,2020-05-07
521.460021972656,521.460021972656,513.130004882812,515.280029296875,607700,515.280029296875,2020-05-08
510.660003662109,515.650024414062,507.200012207031,510.739990234375,835900,510.739990234375,2020-05-11
507.309997558594,514.590026855469,501.369995117188,501.929992675781,776000,501.929992675781,2020-05-12
500.089996337891,503,487.670013427734,498.299987792969,1078900,498.299987792969,2020-05-13
499.089996337891,502.059997558594,489.269989013672,497.440002441406,831200,497.440002441406,2020-05-14
491.359985351562,503.470001220703,485.010009765625,503.390014648438,905300,503.390014648438,2020-05-15
511.149993896484,524.659973144531,505.799987792969,517.789978027344,1194900,517.789978027344,2020-05-18
512.929992675781,523.289978027344,512.400024414062,520.440002441406,1082900,520.440002441406,2020-05-19
519.349975585938,525.77001953125,510.899993896484,512.799987792969,1089500,512.799987792969,2020-05-20
511.25,519.640014648438,510,516.960021972656,788200,516.960021972656,2020-05-21
513.710021972656,519.099975585938,509.239990234375,512.900024414062,714400,512.900024414062,2020-05-22
515,517.690002441406,508.200012207031,509.850006103516,977600,509.850006103516,2020-05-26
512.760009765625,528.059997558594,511.010009765625,525.109985351562,1479400,525.109985351562,2020-05-27
528.539978027344,539.880004882812,528.539978027344,534.669982910156,1577400,534.669982910156,2020-05-28
535.5,545.630004882812,531.080017089844,544,1606100,544,2020-05-29
545.039978027344,548.039978027344,540.02001953125,541.299987792969,849200,541.299987792969,2020-06-01
541.690002441406,549,540.830017089844,545.219970703125,960600,545.219970703125,2020-06-02
545.469970703125,548.809997558594,542.260009765625,547.299987792969,674500,547.299987792969,2020-06-03
544.469970703125,548.909973144531,534.659973144531,540.030029296875,1109500,540.030029296875,2020-06-04
538.650024414062,546.070007324219,528.02001953125,530.719970703125,1394800,530.719970703125,2020-06-05
524,540.400024414062,522.080017089844,540.359985351562,1225300,540.359985351562,2020-06-08
541.090026855469,542.359985351562,529.429992675781,531.570007324219,892900,531.570007324219,2020-06-09
536.349975585938,536.349975585938,528.5,533.809997558594,951800,533.809997558594,2020-06-10
532.710021972656,535.669982910156,517.150024414062,517.169982910156,1485400,517.169982910156,2020-06-11
524.349975585938,530.719970703125,515.289978027344,522.570007324219,1043600,522.570007324219,2020-06-12
514.049987792969,526.75,511.549987792969,526.02001953125,910400,526.02001953125,2020-06-15
