"EM1015.MI.Open","EM1015.MI.High","EM1015.MI.Low","EM1015.MI.Close","EM1015.MI.Volume","EM1015.MI.Adjusted","Date"
233.830001831055,234.550003051758,233.800003051758,234.5,250,234.5,2020-01-02
235.380004882812,236.279998779297,235.380004882812,236.050003051758,123,236.050003051758,2020-01-03
236.460006713867,236.460006713867,236,235.899993896484,72,235.899993896484,2020-01-06
235.429992675781,235.970001220703,235.399993896484,235.550003051758,670,235.550003051758,2020-01-07
235.729995727539,235.779998779297,235.139999389648,235.110000610352,244,235.110000610352,2020-01-08
234.929992675781,234.970001220703,234.889999389648,234.850006103516,259,234.850006103516,2020-01-09
235.199996948242,235.449996948242,234.720001220703,235.300003051758,16686,235.300003051758,2020-01-10
235.080001831055,235.080001831055,234.309997558594,234.240005493164,3228,234.240005493164,2020-01-13
234.509994506836,234.759994506836,234.470001220703,234.470001220703,442,234.470001220703,2020-01-14
234.910003662109,235.320007324219,234.910003662109,235.070007324219,260,235.070007324219,2020-01-15
235.139999389648,235.139999389648,234.699996948242,234.660003662109,77,234.660003662109,2020-01-16
235.160003662109,235.25,234.970001220703,235.059997558594,211,235.059997558594,2020-01-17
235.220001220703,235.369995117188,235.009994506836,235.270004272461,637,235.270004272461,2020-01-20
235.220001220703,235.860000610352,235.179992675781,235.910003662109,81,235.910003662109,2020-01-21
235.949996948242,236.080001831055,235.729995727539,236.300003051758,908,236.300003051758,2020-01-22
237.220001220703,237.850006103516,236.979995727539,237.789993286133,3210,237.789993286133,2020-01-23
237.199996948242,238.270004272461,237.199996948242,238.220001220703,689,238.220001220703,2020-01-24
239.490005493164,240.75,239.490005493164,240.610000610352,1415,240.610000610352,2020-01-27
240.699996948242,240.869995117188,240.179992675781,240.139999389648,159,240.139999389648,2020-01-28
240.839996337891,241.220001220703,240.839996337891,241.070007324219,608,241.070007324219,2020-01-29
241.5,241.869995117188,241.25,241.75,454,241.75,2020-01-30
241.889999389648,242.559997558594,241.860000610352,242.470001220703,471,242.470001220703,2020-01-31
242.289993286133,242.320007324219,241.539993286133,241.860000610352,243,241.860000610352,2020-02-03
241.419998168945,241.630004882812,241.199996948242,241.5,3290,241.5,2020-02-04
241.970001220703,241.970001220703,240.690002441406,240.789993286133,219,240.789993286133,2020-02-05
240.470001220703,240.889999389648,240.350006103516,240.809997558594,907,240.809997558594,2020-02-06
241.240005493164,241.699996948242,241.009994506836,241.339996337891,1854,241.339996337891,2020-02-07
241.479995727539,241.779998779297,241.449996948242,241.759994506836,371,241.759994506836,2020-02-10
241.309997558594,241.839996337891,241.309997558594,241.309997558594,938,241.309997558594,2020-02-11
241.699996948242,241.729995727539,241.5,241.610000610352,157,241.610000610352,2020-02-12
242.720001220703,242.770004272461,241.960006713867,242.149993896484,707,242.149993896484,2020-02-13
242,242.119995117188,241.979995727539,242.050003051758,102,242.050003051758,2020-02-14
242.309997558594,242.389999389648,242.130004882812,242.210006713867,805,242.210006713867,2020-02-17
242.610000610352,242.779998779297,241.899993896484,242.199996948242,362,242.199996948242,2020-02-18
242.5,242.5,241.970001220703,242.320007324219,148,242.320007324219,2020-02-19
242.449996948242,243.160003662109,242.449996948242,243.220001220703,200,243.220001220703,2020-02-20
243.580001831055,243.589996337891,243.440002441406,243.309997558594,1125,243.309997558594,2020-02-21
243.699996948242,243.860000610352,243.470001220703,243.440002441406,2254,243.440002441406,2020-02-24
243.240005493164,243.720001220703,243.110000610352,243.529998779297,1821,243.529998779297,2020-02-25
