"MELI.Open","MELI.High","MELI.Low","MELI.Close","MELI.Volume","MELI.Adjusted","Date"
576.940002441406,615.840026855469,576.940002441406,610.190002441406,589200,610.190002441406,2020-01-02
602.619995117188,609.840026855469,600.059997558594,607.799987792969,320900,607.799987792969,2020-01-03
601.039978027344,613.789978027344,601,606.549987792969,209700,606.549987792969,2020-01-06
606.640014648438,627.969970703125,604.739990234375,625,480900,625,2020-01-07
625,637.820007324219,624.549987792969,633.440002441406,334600,633.440002441406,2020-01-08
643.429992675781,649.049987792969,638.590026855469,646.429992675781,413800,646.429992675781,2020-01-09
653.789978027344,670.150024414062,648.630004882812,669.47998046875,680200,669.47998046875,2020-01-10
670.440002441406,697.219970703125,670.070007324219,691.099975585938,660800,691.099975585938,2020-01-13
690,693.97998046875,649.239990234375,652.070007324219,976500,652.070007324219,2020-01-14
653.400024414062,662.570007324219,640.010009765625,659.97998046875,592400,659.97998046875,2020-01-15
665.830017089844,667.109985351562,653.369995117188,666.460021972656,315200,666.460021972656,2020-01-16
671.489990234375,675,661.77001953125,673.010009765625,359200,673.010009765625,2020-01-17
665,666.77001953125,647,658.460021972656,590900,658.460021972656,2020-01-21
667.460021972656,677.77001953125,662.340026855469,663.150024414062,357200,663.150024414062,2020-01-22
660.929992675781,669.989990234375,653.380004882812,663.330017089844,265900,663.330017089844,2020-01-23
666.400024414062,674.890014648438,654.039978027344,660.580017089844,272900,660.580017089844,2020-01-24
647,655.409973144531,636.369995117188,653.859985351562,338200,653.859985351562,2020-01-27
661.219970703125,676.309997558594,657.77001953125,674.719970703125,359600,674.719970703125,2020-01-28
678.989990234375,681,666.02001953125,668.609985351562,367400,668.609985351562,2020-01-29
663.299987792969,672.5,656.679992675781,671.080017089844,266800,671.080017089844,2020-01-30
670.989990234375,670.989990234375,660.929992675781,663,302000,663,2020-01-31
667,680.619995117188,665.539978027344,677.97998046875,340000,677.97998046875,2020-02-03
691.440002441406,711.169982910156,684.219970703125,709.859985351562,506100,709.859985351562,2020-02-04
725.190002441406,725.190002441406,674.010009765625,675.840026855469,654300,675.840026855469,2020-02-05
689.400024414062,689.400024414062,668.489990234375,671,395500,671,2020-02-06
671,678.219970703125,642.919982910156,646.02001953125,960400,646.02001953125,2020-02-07
647.099975585938,660.969970703125,646.150024414062,658.22998046875,696300,658.22998046875,2020-02-10
633.309997558594,661.989990234375,608.869995117188,651.619995117188,1452100,651.619995117188,2020-02-11
656.880004882812,700.960021972656,655.809997558594,699.820007324219,926500,699.820007324219,2020-02-12
697.869995117188,720.690002441406,684.070007324219,718.530029296875,1111000,718.530029296875,2020-02-13
720.869995117188,735.239990234375,718.059997558594,735.010009765625,967900,735.010009765625,2020-02-14
734.380004882812,734.380004882812,725,728.450012207031,914800,728.450012207031,2020-02-18
733.760009765625,745,732.150024414062,742.739990234375,530000,742.739990234375,2020-02-19
742.789978027344,756.47998046875,728,742.590026855469,730800,742.590026855469,2020-02-20
739.880004882812,747.419982910156,721.489990234375,735.599975585938,562800,735.599975585938,2020-02-21
701.010009765625,701.010009765625,666.669982910156,673.460021972656,1280900,673.460021972656,2020-02-24
698.640014648438,702,626.900024414062,630,1260900,630,2020-02-25
635.940002441406,661.840026855469,626.010009765625,632.049987792969,1290200,632.049987792969,2020-02-26
614.859985351562,633.169982910156,600,600,869700,600,2020-02-27
577.030029296875,617,572.77001953125,616.030029296875,1050900,616.030029296875,2020-02-28
621.239990234375,643.400024414062,613.400024414062,642.109985351562,644400,642.109985351562,2020-03-02
649.989990234375,670,615.909973144531,624.72998046875,606500,624.72998046875,2020-03-03
647.599975585938,658.950012207031,642.390014648438,653.630004882812,471600,653.630004882812,2020-03-04
629.25,647.659973144531,622.049987792969,627.880004882812,403400,627.880004882812,2020-03-05
