"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
223.25,223.899993896484,223,223.850006103516,1547,223.850006103516,2024-02-19
223.649993896484,223.899993896484,223.149993896484,223.550003051758,1579,223.550003051758,2024-02-20
223.399993896484,223.399993896484,222.699996948242,223.149993896484,1892,223.149993896484,2024-02-21
225.25,225.449996948242,224.449996948242,225.300003051758,2839,225.300003051758,2024-02-22
225.5,226.300003051758,225.100006103516,226.149993896484,2780,226.149993896484,2024-02-23
225.800003051758,226,225.25,225.25,2272,225.25,2024-02-26
225.350006103516,226,224.899993896484,225.649993896484,1452,225.649993896484,2024-02-27
225.699996948242,225.75,224.75,225,2822,225,2024-02-28
225.649993896484,225.800003051758,225,225.050003051758,3619,225.050003051758,2024-02-29
226.050003051758,226.600006103516,225.350006103516,226.300003051758,5665,226.300003051758,2024-03-01
226.649993896484,226.699996948242,225.649993896484,226.449996948242,2800,226.449996948242,2024-03-04
225.899993896484,226.25,225.449996948242,225.649993896484,1923,225.649993896484,2024-03-05
225.75,226.949996948242,225.399993896484,226.699996948242,1758,226.699996948242,2024-03-06
226.600006103516,229.5,226.050003051758,229.5,4724,229.5,2024-03-07
229.399993896484,229.850006103516,229.100006103516,229.100006103516,4833,229.100006103516,2024-03-08
228.199996948242,228.699996948242,227.800003051758,228.600006103516,7446,228.600006103516,2024-03-11
229.5,230.899993896484,229.100006103516,230.649993896484,7157,230.649993896484,2024-03-12
230.949996948242,231.550003051758,230.600006103516,231.149993896484,2469,231.149993896484,2024-03-13
231.800003051758,232.25,230.5,230.850006103516,11785,230.850006103516,2024-03-14
231.050003051758,231.699996948242,229.800003051758,229.800003051758,8904,229.800003051758,2024-03-15
230.449996948242,230.449996948242,229.449996948242,229.899993896484,7985,229.899993896484,2024-03-18
229.699996948242,230.399993896484,229.350006103516,230.399993896484,4000,230.399993896484,2024-03-19
229.949996948242,230.5,229.649993896484,230.300003051758,2073,230.300003051758,2024-03-20
232.050003051758,233.300003051758,231.300003051758,232.600006103516,1589,232.600006103516,2024-03-21
232.199996948242,232.949996948242,232.199996948242,232.5,2666,232.5,2024-03-22
232.75,233.050003051758,231.75,232.850006103516,1660,232.850006103516,2024-03-25
232.600006103516,233.649993896484,232.449996948242,233.649993896484,7327,233.649993896484,2024-03-26
233.600006103516,233.949996948242,232.949996948242,233.800003051758,2148,233.800003051758,2024-03-27
234.449996948242,234.75,234.100006103516,234.449996948242,14985,234.449996948242,2024-03-28
235.600006103516,236.100006103516,232.300003051758,232.300003051758,6171,232.300003051758,2024-04-02
232.800003051758,233.300003051758,232,233.149993896484,4453,233.149993896484,2024-04-03
233.149993896484,233.899993896484,233.100006103516,233.550003051758,5761,233.550003051758,2024-04-04
230.949996948242,231.449996948242,230.300003051758,231.25,9189,231.25,2024-04-05
231.300003051758,232.850006103516,231.300003051758,232.600006103516,2533,232.600006103516,2024-04-08
232.25,232.600006103516,230.850006103516,231.149993896484,3443,231.149993896484,2024-04-09
232.5,232.800003051758,229.699996948242,231.5,11127,231.5,2024-04-10
231.449996948242,232.100006103516,229.75,230.850006103516,1823,230.850006103516,2024-04-11
233.199996948242,233.649993896484,230.850006103516,231.050003051758,2911,231.050003051758,2024-04-12
231.699996948242,233.199996948242,231.300003051758,231.600006103516,2816,231.600006103516,2024-04-15
228.75,229,227.550003051758,227.699996948242,4480,227.699996948242,2024-04-16
228.449996948242,229.850006103516,227.949996948242,227.949996948242,5930,227.949996948242,2024-04-17
228.899993896484,228.949996948242,227.449996948242,228.699996948242,2366,228.699996948242,2024-04-18
227.199996948242,228.399993896484,226.5,228,10836,228,2024-04-19
229.649993896484,230.199996948242,228.699996948242,230.050003051758,2376,230.050003051758,2024-04-22
231.800003051758,232.649993896484,231.199996948242,232.550003051758,6806,232.550003051758,2024-04-23
233.25,233.25,231.350006103516,231.800003051758,3310,231.800003051758,2024-04-24
231.949996948242,231.949996948242,228.850006103516,230.199996948242,1270,230.199996948242,2024-04-25
231.949996948242,233.199996948242,231.449996948242,233.100006103516,3072,233.100006103516,2024-04-26
234.050003051758,234.149993896484,233.300003051758,233.300003051758,7807,233.300003051758,2024-04-29
233.699996948242,233.699996948242,231.600006103516,231.899993896484,3218,231.899993896484,2024-04-30
232.050003051758,232.050003051758,231.050003051758,231.399993896484,2193,231.399993896484,2024-05-02
232.100006103516,233.550003051758,231.75,232.600006103516,1252,232.600006103516,2024-05-03
233.050003051758,234.600006103516,232.800003051758,234.050003051758,5566,234.050003051758,2024-05-06
235,236.550003051758,234.800003051758,236.550003051758,5398,236.550003051758,2024-05-07
237.100006103516,237.600006103516,236.5,237.350006103516,3449,237.350006103516,2024-05-08
237.649993896484,238.550003051758,236.899993896484,238.350006103516,22086,238.350006103516,2024-05-09
239.5,240.399993896484,239.100006103516,240.100006103516,4985,240.100006103516,2024-05-10
240.399993896484,240.399993896484,239.649993896484,240.149993896484,6748,240.149993896484,2024-05-13
240.25,240.699996948242,239.800003051758,240.449996948242,3902,240.449996948242,2024-05-14
241.600006103516,242.100006103516,240.850006103516,242.100006103516,3777,242.100006103516,2024-05-15
242.600006103516,242.600006103516,241.5,241.600006103516,6091,241.600006103516,2024-05-16
241.75,241.75,240.899993896484,241.449996948242,2708,241.449996948242,2024-05-17
241.850006103516,242.449996948242,241.800003051758,242.199996948242,1909,242.199996948242,2024-05-20
241.850006103516,241.899993896484,240.850006103516,241.699996948242,2682,241.699996948242,2024-05-21
241.399993896484,241.399993896484,240.449996948242,241.149993896484,1874,241.149993896484,2024-05-22
241.800003051758,242.199996948242,240.949996948242,241.199996948242,1740,241.199996948242,2024-05-23
239.600006103516,241.050003051758,239.149993896484,240.899993896484,1484,240.899993896484,2024-05-24
240.449996948242,241.550003051758,240.449996948242,241.550003051758,2243,241.550003051758,2024-05-27
242.25,242.25,239.899993896484,240.050003051758,3550,240.050003051758,2024-05-28
239.850006103516,239.899993896484,237.600006103516,237.699996948242,2450,237.699996948242,2024-05-29
237.600006103516,239.149993896484,237.600006103516,239.25,1221,239.25,2024-05-30
239.25,240.25,239.050003051758,239.850006103516,1398,239.850006103516,2024-05-31
242.149993896484,242.149993896484,240.600006103516,240.949996948242,8732,240.949996948242,2024-06-03
240.449996948242,240.449996948242,238.699996948242,239.550003051758,2938,239.550003051758,2024-06-04
241.149993896484,242.300003051758,240.75,242,5154,242,2024-06-05
243.199996948242,243.600006103516,242.5,243.25,3284,243.25,2024-06-06
243.649993896484,243.649993896484,241.449996948242,242.75,2285,242.75,2024-06-07
241,242.100006103516,240.5,242.100006103516,4378,242.100006103516,2024-06-10
242.649993896484,242.649993896484,239,239.850006103516,7086,239.850006103516,2024-06-11
240.5,242.800003051758,240.300003051758,242.25,2425,242.25,2024-06-12
241.800003051758,241.800003051758,239.199996948242,239.399993896484,2261,239.399993896484,2024-06-13
