"CSUS.MI.Open","CSUS.MI.High","CSUS.MI.Low","CSUS.MI.Close","CSUS.MI.Volume","CSUS.MI.Adjusted","Date"
279.940002441406,279.940002441406,279.899993896484,279.410003662109,4,279.410003662109,2020-01-02
279.410003662109,279.410003662109,279.410003662109,279.410003662109,0,279.410003662109,2020-01-03
276.890014648438,276.890014648438,276.890014648438,278.670013427734,36,278.670013427734,2020-01-06
280.470001220703,280.470001220703,280.470001220703,280.980010986328,3,280.980010986328,2020-01-07
280.380004882812,281.100006103516,279.959991455078,282.119995117188,572,282.119995117188,2020-01-08
284.029998779297,284.670013427734,283.820007324219,284.459991455078,34,284.459991455078,2020-01-09
285.480010986328,285.480010986328,285.279998779297,284.540008544922,11,284.540008544922,2020-01-10
284.079986572266,284.779998779297,284.079986572266,283.950012207031,592,283.950012207031,2020-01-13
285.470001220703,285.470001220703,285.160003662109,285.160003662109,84,285.160003662109,2020-01-14
284.940002441406,285.200012207031,284.940002441406,285.149993896484,26,285.149993896484,2020-01-15
285.730010986328,285.730010986328,285.730010986328,286.660003662109,2,286.660003662109,2020-01-16
288.910003662109,289.179992675781,288.709991455078,289.179992675781,1666,289.179992675781,2020-01-17
289.359985351562,289.359985351562,289.100006103516,289.450012207031,13,289.450012207031,2020-01-20
288.320007324219,288.320007324219,288.320007324219,289.269989013672,9,289.269989013672,2020-01-21
290.309997558594,290.309997558594,290.309997558594,289.920013427734,2,289.920013427734,2020-01-22
289.190002441406,289.399993896484,289.190002441406,289.109985351562,27,289.109985351562,2020-01-23
291.589996337891,291.589996337891,291.589996337891,290.320007324219,5,290.320007324219,2020-01-24
283.730010986328,283.730010986328,283.720001220703,284.420013427734,19,284.420013427734,2020-01-27
284.459991455078,285.100006103516,284.450012207031,287.589996337891,24,287.589996337891,2020-01-28
288.269989013672,288.5,287.510009765625,288.660003662109,119,288.660003662109,2020-01-29
285.609985351562,285.609985351562,284.350006103516,285.279998779297,56,285.279998779297,2020-01-30
287.339996337891,287.339996337891,286.519989013672,282.200012207031,177,282.200012207031,2020-01-31
283.350006103516,283.450012207031,282.679992675781,284.470001220703,806,284.470001220703,2020-02-03
287.440002441406,287.450012207031,287.440002441406,289.399993896484,17,289.399993896484,2020-02-04
292.049987792969,292.489990234375,291.890014648438,292.170013427734,1574,292.170013427734,2020-02-05
294.529998779297,294.839996337891,294.130004882812,294.549987792969,1036,294.549987792969,2020-02-06
294.549987792969,294.549987792969,294.109985351562,294.730010986328,273,294.730010986328,2020-02-07
294.730010986328,294.730010986328,294.730010986328,294.730010986328,0,294.730010986328,2020-02-10
297.910003662109,297.910003662109,297.579986572266,298.279998779297,58,298.279998779297,2020-02-11
298.730010986328,299.640014648438,298.730010986328,299.700012207031,29,299.700012207031,2020-02-12
298.190002441406,298.190002441406,297.989990234375,301.089996337891,11,301.089996337891,2020-02-13
301.839996337891,301.839996337891,301.839996337891,301.649993896484,35,301.649993896484,2020-02-14
302.769989013672,302.769989013672,302.559997558594,302.739990234375,24,302.739990234375,2020-02-17
301.160003662109,301.160003662109,301.160003662109,300.559997558594,9,300.559997558594,2020-02-18
302.760009765625,304.5,302.760009765625,304.299987792969,516,304.299987792969,2020-02-19
303.980010986328,303.980010986328,302.940002441406,301.859985351562,317,301.859985351562,2020-02-20
301.239990234375,301.25,297.869995117188,298.559997558594,227,298.559997558594,2020-02-21
290.880004882812,290.880004882812,290.700012207031,289.440002441406,204,289.440002441406,2020-02-24
289.559997558594,289.559997558594,289.559997558594,283.839996337891,150,283.839996337891,2020-02-25
280,282.890014648438,276.790008544922,282.589996337891,146,282.589996337891,2020-02-26
273.029998779297,273.029998779297,266.140014648438,269.089996337891,379,269.089996337891,2020-02-27
256.660003662109,258.290008544922,252.669998168945,256.279998779297,1409,256.279998779297,2020-02-28
259.75,260.179992675781,255.160003662109,261.850006103516,2937,261.850006103516,2020-03-02
268.179992675781,269.549987792969,266.940002441406,263.519989013672,2340,263.519989013672,2020-03-03
264.799987792969,267.450012207031,264.589996337891,266.320007324219,95,266.320007324219,2020-03-04
267.769989013672,267.779998779297,263.470001220703,266.410003662109,2293,266.410003662109,2020-03-05
257.760009765625,257.760009765625,248.529998779297,252.169998168945,1038,252.169998168945,2020-03-06
237.570007324219,240.380004882812,232.75,237.559997558594,1857,237.559997558594,2020-03-09
243.139999389648,246.070007324219,236.169998168945,236.419998168945,3583,236.419998168945,2020-03-10
239.539993286133,239.919998168945,239.009994506836,238.369995117188,1138,238.369995117188,2020-03-11
224.029998779297,224.029998779297,218.649993896484,220.669998168945,2572,220.669998168945,2020-03-12
