"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
247.25,247.25,246.020004272461,246.899993896484,3248,246.899993896484,2020-01-02
247.690002441406,248.210006713867,247.690002441406,248.080001831055,2078,248.080001831055,2020-01-03
248.179992675781,248.279998779297,247.970001220703,247.940002441406,3890,247.940002441406,2020-01-06
247.75,248.009994506836,247.729995727539,247.779998779297,2913,247.779998779297,2020-01-07
247.949996948242,247.949996948242,247.339996337891,247.339996337891,5673,247.339996337891,2020-01-08
247.039993286133,247.149993896484,246.889999389648,247.020004272461,2028,247.020004272461,2020-01-09
247.339996337891,247.470001220703,246.990005493164,247.289993286133,4443,247.289993286133,2020-01-10
247.199996948242,247.199996948242,246.490005493164,246.419998168945,1662,246.419998168945,2020-01-13
246.649993896484,246.809997558594,246.529998779297,246.660003662109,5857,246.660003662109,2020-01-14
247.100006103516,247.419998168945,247,247.289993286133,4768,247.289993286133,2020-01-15
247.259994506836,247.270004272461,246.880004882812,246.880004882812,1363,246.880004882812,2020-01-16
247.179992675781,247.350006103516,246.929992675781,247.119995117188,7434,247.119995117188,2020-01-17
247.470001220703,247.490005493164,247.080001831055,247.410003662109,2981,247.410003662109,2020-01-20
247.410003662109,247.919998168945,247.210006713867,247.75,6753,247.75,2020-01-21
247.360000610352,248.110000610352,247.309997558594,248.070007324219,5936,248.070007324219,2020-01-22
248.470001220703,249.089996337891,248.309997558594,249.080001831055,5969,249.080001831055,2020-01-23
248.759994506836,249.550003051758,248.759994506836,249.550003051758,3240,249.550003051758,2020-01-24
250.169998168945,251.149993896484,250.169998168945,251.149993896484,2295,251.149993896484,2020-01-27
251.009994506836,251.449996948242,250.580001831055,250.710006713867,2921,250.710006713867,2020-01-28
251.210006713867,251.520004272461,251.070007324219,251.490005493164,2697,251.490005493164,2020-01-29
251.729995727539,252.070007324219,251.559997558594,252.039993286133,1864,252.039993286133,2020-01-30
251.899993896484,252.639999389648,251.899993896484,252.639999389648,3020,252.639999389648,2020-01-31
252.649993896484,253.160003662109,251.789993286133,252.009994506836,3077,252.009994506836,2020-02-03
251.979995727539,251.979995727539,251.5,251.740005493164,4971,251.740005493164,2020-02-04
251.300003051758,251.330001831055,250.800003051758,250.800003051758,6092,250.800003051758,2020-02-05
250.770004272461,251.029998779297,250.740005493164,250.970001220703,6085,250.970001220703,2020-02-06
251.410003662109,251.889999389648,251.050003051758,251.410003662109,7018,251.410003662109,2020-02-07
251.75,252.039993286133,251.660003662109,251.949996948242,9861,251.949996948242,2020-02-10
251.630004882812,251.839996337891,251.490005493164,251.559997558594,5999,251.559997558594,2020-02-11
251.309997558594,251.869995117188,251.080001831055,251.699996948242,6780,251.699996948242,2020-02-12
252.330001831055,252.710006713867,251.960006713867,251.960006713867,5534,251.960006713867,2020-02-13
252.029998779297,252.320007324219,252,252.300003051758,1548,252.300003051758,2020-02-14
251.970001220703,252.330001831055,251.899993896484,252.039993286133,8376,252.039993286133,2020-02-17
252.639999389648,252.770004272461,252,252.130004882812,3753,252.130004882812,2020-02-18
